No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2013010.0,8.0,7535347.0,2,2499044.0,12153594.0,105.52
2,2013538.0,24.0,7505221.0,8,2498174.0,12150553.0,70.19
3,2013338.0,38.0,8853840.0,4,2497570.0,12150178.0,99.08
4,2013215.0,32.0,7510473.0,7,2490556.0,12154972.0,116.58
5,2012810.0,35.0,7556302.0,6,2490069.0,12151164.0,25.58
6,2012810.0,29.0,8553430.0,7,2492124.0,12150269.0,83.63
7,2012720.0,30.0,7919991.0,6,2496635.0,12150949.0,81.7
8,2013460.0,37.0,8588844.0,2,2494112.0,12150195.0,115.3
9,2013218.0,11.0,7133713.0,1,2494024.0,12151959.0,115.92
10,2013316.0,21.0,7997379.0,6,2498846.0,12154012.0,83.07
11,2012686.0,10.0,7068760.0,2,2498956.0,12151706.0,34.37
12,2013555.0,43.0,7128164.0,2,2499092.0,12152221.0,95.36
13,2013430.0,41.0,8854214.0,1,2493139.0,12153378.0,19.36
14,2012862.0,2.0,7284841.0,3,2496911.0,12152544.0,93.4
15,2012834.0,31.0,8089123.0,7,2492716.0,12154307.0,107.63
16,2012835.0,41.0,7840940.0,0,2491906.0,12154330.0,49.67
17,2012946.0,8.0,7710528.0,0,2491846.0,12150050.0,76.91
18,2013148.0,25.0,8840704.0,4,2493421.0,12153890.0,54.87
19,2013063.0,40.0,7044642.0,10,2494300.0,12152304.0,55.71
20,2012934.0,1.0,8357852.0,4,2498309.0,12154944.0,41.71
21,2013227.0,31.0,8970725.0,10,2491199.0,12152416.0,91.36
22,2012795.0,13.0,8145883.0,0,2497349.0,12154934.0,110.49
23,2012935.0,40.0,8916370.0,5,2495315.0,12153773.0,110.99
24,2013003.0,43.0,7106899.0,0,2492879.0,12151243.0,26.81
25,2013085.0,41.0,7856686.0,4,2494928.0,12152692.0,103.73
26,2013386.0,21.0,7532180.0,8,2492999.0,12154961.0,88.64
27,2012850.0,38.0,8494972.0,4,2495961.0,12154288.0,35.39
28,2013138.0,37.0,9007347.0,5,2494338.0,12150487.0,14.99
29,2013210.0,14.0,7524759.0,7,2491644.0,12153532.0,37.05
30,2012710.0,36.0,8338183.0,10,2491166.0,12151728.0,107.85
31,2013224.0,2.0,7405230.0,0,2495467.0,12150035.0,77.19
32,2012823.0,26.0,8156443.0,1,2499024.0,12152017.0,86.84
33,2012727.0,10.0,7949023.0,8,2493440.0,12151174.0,35.86
34,2013536.0,5.0,8988340.0,2,2497330.0,12154094.0,86.66
35,2013552.0,3.0,8244807.0,5,2496587.0,12151687.0,10.69
36,2013407.0,30.0,7714952.0,4,2499316.0,12154138.0,48.85
37,2012946.0,15.0,7233395.0,10,2498210.0,12150003.0,76.48
38,2012756.0,32.0,7309391.0,1,2495666.0,12151539.0,23.66
39,2013294.0,3.0,7460910.0,6,2496570.0,12151206.0,98.05
40,2013070.0,14.0,7513379.0,3,2498984.0,12151168.0,33.43
41,2012779.0,24.0,8740025.0,0,2493995.0,12150341.0,79.29
42,2013121.0,35.0,8148041.0,3,2493268.0,12150936.0,52.13
43,2012698.0,14.0,8070652.0,5,2490108.0,12152778.0,73.11
44,2013500.0,27.0,7234772.0,6,2498266.0,12151457.0,19.41
45,2012904.0,39.0,8759507.0,6,2498010.0,12152087.0,9.46
46,2013274.0,27.0,8478593.0,6,2491045.0,12151884.0,107.56
47,2012953.0,10.0,7138423.0,2,2495769.0,12154380.0,37.23
48,2013143.0,1.0,8447952.0,5,2494640.0,12154526.0,97.68
49,2013168.0,38.0,8111865.0,7,2491187.0,12152465.0,117.43
50,2012836.0,1.0,7167178.0,3,2499806.0,12151651.0,30.84
51,2013555.0,38.0,7937503.0,7,2492147.0,12150534.0,36.74
52,2013377.0,23.0,7991498.0,1,2490672.0,12154767.0,80.45
53,2013528.0,41.0,7339109.0,9,2495948.0,12150301.0,113.7
54,2013487.0,35.0,8934526.0,8,2497389.0,12151488.0,108.25
55,2013215.0,44.0,8738715.0,8,2490324.0,12151490.0,62.87
56,2013511.0,15.0,8368556.0,7,2496587.0,12151602.0,94.98
57,2012748.0,34.0,7945675.0,9,2495323.0,12150821.0,22.52
58,2012847.0,18.0,7842310.0,9,2491033.0,12153916.0,115.02
59,2012708.0,21.0,8331635.0,0,2491725.0,12150612.0,113.58
60,2012965.0,27.0,8115739.0,1,2495680.0,12153175.0,25.59
61,2013023.0,38.0,7127386.0,5,2492964.0,12150619.0,40.51
62,2012916.0,43.0,8048378.0,9,2499383.0,12150353.0,18.61
63,2013426.0,34.0,8649584.0,4,2498187.0,12154547.0,37.46
64,2012994.0,18.0,7939424.0,8,2499836.0,12150951.0,97.27
65,2012924.0,18.0,7106283.0,4,2492597.0,12154106.0,49.18
66,2013164.0,32.0,8608415.0,1,2499697.0,12152723.0,17.31
67,2012796.0,10.0,7411911.0,9,2494312.0,12150389.0,45.21
68,2013402.0,5.0,7529036.0,3,2493475.0,12154777.0,115.45
69,2012735.0,16.0,7336924.0,8,2490503.0,12151235.0,76.8
70,2013571.0,13.0,7675490.0,0,2490528.0,12154298.0,53.34
71,2013374.0,13.0,8548015.0,10,2496920.0,12150844.0,25.9
72,2012849.0,10.0,8062459.0,0,2494579.0,12154270.0,115.98
73,2012672.0,2.0,7419106.0,6,2492265.0,12150066.0,97.81
74,2013414.0,1.0,8795694.0,10,2496140.0,12152559.0,38.53
75,2013314.0,43.0,8799278.0,2,2492529.0,12153847.0,15.3
76,2013335.0,19.0,8780860.0,9,2495776.0,12154674.0,13.82
77,2013373.0,17.0,7488483.0,1,2493592.0,12154546.0,20.83
78,2012735.0,30.0,7923058.0,8,2498236.0,12154098.0,71.43
79,2012995.0,10.0,9014901.0,2,2498207.0,12154441.0,109.67
80,2012773.0,42.0,8579233.0,1,2494774.0,12150996.0,62.19
81,2013458.0,34.0,7055574.0,7,2493508.0,12151421.0,100.24
82,2013238.0,4.0,7133383.0,9,2493626.0,12151445.0,56.6
83,2012970.0,18.0,7949021.0,5,2498057.0,12151885.0,85.47
